id,incident_month,incident_week,day,weekend,part_of_the_day,hour,,lat,long,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,,humidity,visibility,,,season,crime,weight
43,3,11,friday,1,morning,6 - 11:59,,23.881433,90.2683015,dhaka university,dhaka,dhaka,36,32,25,113,,41,10,,,hot,murder,10
44,9,35,sunday,0,night,20 - 5:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,37,34,29,176,,67,9,,,rainy,murder,10
45,6,25,friday,1,morning,6 - 11:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,36,33,29,353,,68,10,,,rainy,murder,10
46,7,31,monday,0,night,20 - 5:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,34,32,28,176,,73,10,,,rainy,murder,10
47,6,25,wednesday,0,morning,6 - 11:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,,65,10,,,rainy,murder,10
48,6,25,wednesday,0,morning,6 - 11:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,,65,10,,,rainy,murder,10
49,2,7,wednesday,0,night,20 - 5:59,,23.90833,90.21667,dhamrai,dhaka,dhaka,32,27,20,113,,37,10,,,winter,murder,10
50,5,19,sunday,0,night,20 - 5:59,,23.744806,90.373922,dhanmondi,dhaka,dhaka,37,34,29,386,,66,9,,,hot,murder,10
51,1,4,friday,1,night,20 - 5:59,,23.744806,90.373922,dhanmondi,dhaka,dhaka,29,25,19,113,,38,10,,,winter,murder,10
52,1,2,monday,0,night,20 - 5:59,,23.5958,90.1222,domar,dhaka,dhaka,30,26,21,113,,47,10,,,winter,murder,10
53,2,8,wednesday,0,evening,18 - 19:59,,23.700508,90.451953,donia,dhaka,dhaka,31,27,22,176,,54,10,,,winter,murder,10
54,7,28,friday,1,night,20 - 5:59,,23.78241147,90.33740957,gabtoli,dhaka,dhaka,34,31,26,353,,77,10,,,rainy,murder,10
55,6,23,saturday,1,morning,6 - 11:59,,23.7917,90.4167,gulshan,dhaka,dhaka,36,34,29,356,,65,9,,,rainy,murder,10
56,10,44,tuesday,0,night,20 - 5:59,,23.740038,90.35886,hazaribagh,dhaka,dhaka,31,27,22,116,,75,10,,,rainy,murder,10
57,9,36,monday,0,evening,18 - 19:59,,23.740038,90.35886,hazaribagh,dhaka,dhaka,35,33,28,356,,68,9,,,rainy,murder,10
58,4,14,wednesday,0,night,20 - 5:59,,23.70637,90.41431,hrishikesh das lane,dhaka,dhaka,37,32,26,386,,75,10,,,hot,murder,10
59,10,40,sunday,0,night,20 - 5:59,,23.728907,90.417137,ibrahimpur,dhaka,dhaka,34,31,26,116,,58,10,,,rainy,murder,10
60,8,32,sunday,0,night,20 - 5:59,,23.784506,90.403409,islambagh,dhaka,dhaka,36,33,28,200,,70,10,,,rainy,murder,10
61,7,30,sunday,0,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,33,30,26,353,,79,10,,,rainy,murder,10
62,6,25,friday,1,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,35,33,29,119,,69,10,,,rainy,murder,10
63,1,2,monday,0,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,,48,10,,,winter,murder,10
64,2,6,sunday,0,evening,18 - 19:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,29,24,17,113,,46,10,,,winter,murder,10
65,4,17,thursday,0,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,36,32,26,356,,74,9,,,hot,murder,10
